"region","Country","sex","alpha.3","number","population_total","suicide_rate"
"Africa","Egypt","female","EGY",13,38732094,0.0335638966486036
"Africa","Egypt","male","EGY",35,40153072,0.0871664314999361
"Africa","Mauritius","female","MUS",26,584173,4.45073634009103
"Africa","Mauritius","male","MUS",78,570675,13.6680247075831
"Africa","Seychelles","female","SYC",1,43478,2.3000138000828
"Africa","Seychelles","male","SYC",6,42471,14.1272868545596
"Africa","South Africa","female","ZAF",105,25338753,0.414385033075621
"Africa","South Africa","male","ZAF",377,24288707,1.55216166920701
"Americas","Antigua and Barbuda","female","ATG",1,47990,2.08376745155241
"Americas","Antigua and Barbuda","male","ATG",0,43899,0
"Americas","Argentina","female","ARG",604,20346129,2.96862366300735
"Americas","Argentina","male","ARG",2469,19353495,12.7573856815009
"Americas","Aruba","female","ABW",2,51989,3.84696762776741
"Americas","Aruba","male","ABW",7,46723,14.9819146886972
"Americas","Belize","female","BLZ",4,160712,2.48892428692319
"Americas","Belize","male","BLZ",22,159123,13.8257825707157
"Americas","Brazil","female","BRA",2397,97410044,2.46073187278306
"Americas","Brazil","male","BRA",8766,93677041,9.35768242295356
"Americas","Chile","female","CHL",378,8379071,4.51123996920422
"Americas","Chile","male","CHL",1460,8186654,17.833903814672
"Americas","Colombia","female","COL",482,22655726,2.12749748121071
"Americas","Colombia","male","COL",1850,21834701,8.47275169923325
"Americas","Cuba","female","CUB",300,5420186,5.53486540867786
"Americas","Cuba","male","CUB",1211,5411882,22.3766889226336
"Americas","Ecuador","female","ECU",266,7286798,3.6504374074868
"Americas","Ecuador","male","ECU",807,7247226,11.1352950770405
"Americas","Grenada","female","GRD",0,48397,0
"Americas","Grenada","male","GRD",0,48495,0
"Americas","Guatemala","female","GTM",144,7282364,1.97737987279955
"Americas","Guatemala","male","GTM",350,6976033,5.01717810107836
"Americas","Honduras","female","HND",1,19617,5.09761941173472
"Americas","Honduras","male","HND",1,18916,5.28652992175936
"Americas","Mexico","female","MEX",1248,57572745,2.1676923690194
"Americas","Mexico","male","MEX",4986,56785139,8.7804663117933
"Americas","Nicaragua","female","NIC",85,2787968,3.04881548138286
