"","year","sex","age","suicides_no","population","Country","region","alpha.2","alpha.3"
"1",1985,"female","15-24 years",NA,277900,"Albania","Europe","AL","ALB"
"2",1985,"female","25-34 years",NA,246800,"Albania","Europe","AL","ALB"
"3",1985,"female","35-54 years",NA,267500,"Albania","Europe","AL","ALB"
"4",1985,"female","5-14 years",NA,298300,"Albania","Europe","AL","ALB"
"5",1985,"female","55-74 years",NA,138700,"Albania","Europe","AL","ALB"
"6",1985,"female","75+ years",NA,34200,"Albania","Europe","AL","ALB"
"7",1985,"male","15-24 years",NA,301400,"Albania","Europe","AL","ALB"
"8",1985,"male","25-34 years",NA,264200,"Albania","Europe","AL","ALB"
"9",1985,"male","35-54 years",NA,296700,"Albania","Europe","AL","ALB"
"10",1985,"male","5-14 years",NA,325800,"Albania","Europe","AL","ALB"
"11",1985,"male","55-74 years",NA,132500,"Albania","Europe","AL","ALB"
"12",1985,"male","75+ years",NA,21100,"Albania","Europe","AL","ALB"
"13",1986,"female","15-24 years",NA,283900,"Albania","Europe","AL","ALB"
"14",1986,"female","25-34 years",NA,252100,"Albania","Europe","AL","ALB"
"15",1986,"female","35-54 years",NA,273200,"Albania","Europe","AL","ALB"
"16",1986,"female","5-14 years",NA,304700,"Albania","Europe","AL","ALB"
"17",1986,"female","55-74 years",NA,141700,"Albania","Europe","AL","ALB"
"18",1986,"female","75+ years",NA,34900,"Albania","Europe","AL","ALB"
"19",1986,"male","15-24 years",NA,306700,"Albania","Europe","AL","ALB"
"20",1986,"male","25-34 years",NA,269000,"Albania","Europe","AL","ALB"
"21",1986,"male","35-54 years",NA,302000,"Albania","Europe","AL","ALB"
"22",1986,"male","5-14 years",NA,331600,"Albania","Europe","AL","ALB"
"23",1986,"male","55-74 years",NA,134800,"Albania","Europe","AL","ALB"
"24",1986,"male","75+ years",NA,21400,"Albania","Europe","AL","ALB"
"25",1987,"female","15-24 years",14,289700,"Albania","Europe","AL","ALB"
"26",1987,"female","25-34 years",4,257200,"Albania","Europe","AL","ALB"
"27",1987,"female","35-54 years",6,278800,"Albania","Europe","AL","ALB"
"28",1987,"female","5-14 years",0,311000,"Albania","Europe","AL","ALB"
"29",1987,"female","55-74 years",0,144600,"Albania","Europe","AL","ALB"
"30",1987,"female","75+ years",1,35600,"Albania","Europe","AL","ALB"
"31",1987,"male","15-24 years",21,312900,"Albania","Europe","AL","ALB"
"32",1987,"male","25-34 years",9,274300,"Albania","Europe","AL","ALB"
"33",1987,"male","35-54 years",16,308000,"Albania","Europe","AL","ALB"
"34",1987,"male","5-14 years",0,338200,"Albania","Europe","AL","ALB"
"35",1987,"male","55-74 years",1,137500,"Albania","Europe","AL","ALB"
"36",1987,"male","75+ years",1,21800,"Albania","Europe","AL","ALB"
"37",1988,"female","15-24 years",8,295600,"Albania","Europe","AL","ALB"
"38",1988,"female","25-34 years",5,262400,"Albania","Europe","AL","ALB"
"39",1988,"female","35-54 years",4,284500,"Albania","Europe","AL","ALB"
"40",1988,"female","5-14 years",0,317200,"Albania","Europe","AL","ALB"
"41",1988,"female","55-74 years",3,147500,"Albania","Europe","AL","ALB"
"42",1988,"female","75+ years",2,36400,"Albania","Europe","AL","ALB"
"43",1988,"male","15-24 years",17,319200,"Albania","Europe","AL","ALB"
"44",1988,"male","25-34 years",5,279900,"Albania","Europe","AL","ALB"
"45",1988,"male","35-54 years",14,314100,"Albania","Europe","AL","ALB"
"46",1988,"male","5-14 years",0,345000,"Albania","Europe","AL","ALB"
"47",1988,"male","55-74 years",4,140200,"Albania","Europe","AL","ALB"
"48",1988,"male","75+ years",1,22300,"Albania","Europe","AL","ALB"
"49",1989,"female","15-24 years",5,299900,"Albania","Europe","AL","ALB"
"50",1989,"female","25-34 years",2,266300,"Albania","Europe","AL","ALB"
"51",1989,"female","35-54 years",7,288600,"Albania","Europe","AL","ALB"
"52",1989,"female","5-14 years",0,321900,"Albania","Europe","AL","ALB"
"53",1989,"female","55-74 years",1,149600,"Albania","Europe","AL","ALB"
"54",1989,"female","75+ years",0,37000,"Albania","Europe","AL","ALB"
"55",1989,"male","15-24 years",12,323500,"Albania","Europe","AL","ALB"
"56",1989,"male","25-34 years",18,283600,"Albania","Europe","AL","ALB"
"57",1989,"male","35-54 years",15,318400,"Albania","Europe","AL","ALB"
"58",1989,"male","5-14 years",0,349700,"Albania","Europe","AL","ALB"
"59",1989,"male","55-74 years",6,142100,"Albania","Europe","AL","ALB"
"60",1989,"male","75+ years",2,22500,"Albania","Europe","AL","ALB"
"61",1990,"female","15-24 years",NA,305900,"Albania","Europe","AL","ALB"
"62",1990,"female","25-34 years",NA,278000,"Albania","Europe","AL","ALB"
"63",1990,"female","35-54 years",NA,308300,"Albania","Europe","AL","ALB"
"64",1990,"female","5-14 years",NA,329600,"Albania","Europe","AL","ALB"
"65",1990,"female","55-74 years",NA,156400,"Albania","Europe","AL","ALB"
"66",1990,"female","75+ years",NA,37600,"Albania","Europe","AL","ALB"
"67",1990,"male","15-24 years",NA,325600,"Albania","Europe","AL","ALB"
"68",1990,"male","25-34 years",NA,295100,"Albania","Europe","AL","ALB"
"69",1990,"male","35-54 years",NA,337700,"Albania","Europe","AL","ALB"
"70",1990,"male","5-14 years",NA,355600,"Albania","Europe","AL","ALB"
"71",1990,"male","55-74 years",NA,149700,"Albania","Europe","AL","ALB"
"72",1990,"male","75+ years",NA,23200,"Albania","Europe","AL","ALB"
"73",1991,"female","15-24 years",NA,301100,"Albania","Europe","AL","ALB"
"74",1991,"female","25-34 years",NA,274700,"Albania","Europe","AL","ALB"
"75",1991,"female","35-54 years",NA,316500,"Albania","Europe","AL","ALB"
"76",1991,"female","5-14 years",NA,333300,"Albania","Europe","AL","ALB"
"77",1991,"female","55-74 years",NA,160800,"Albania","Europe","AL","ALB"
"78",1991,"female","75+ years",NA,38300,"Albania","Europe","AL","ALB"
"79",1991,"male","15-24 years",NA,302200,"Albania","Europe","AL","ALB"
"80",1991,"male","25-34 years",NA,276900,"Albania","Europe","AL","ALB"
"81",1991,"male","35-54 years",NA,342600,"Albania","Europe","AL","ALB"
"82",1991,"male","5-14 years",NA,359500,"Albania","Europe","AL","ALB"
"83",1991,"male","55-74 years",NA,154800,"Albania","Europe","AL","ALB"
"84",1991,"male","75+ years",NA,23600,"Albania","Europe","AL","ALB"
"85",1992,"female","15-24 years",7,292400,"Albania","Europe","AL","ALB"
"86",1992,"female","25-34 years",4,267400,"Albania","Europe","AL","ALB"
"87",1992,"female","35-54 years",2,323100,"Albania","Europe","AL","ALB"
"88",1992,"female","5-14 years",0,336700,"Albania","Europe","AL","ALB"
