"collaborator","title","abstract"
" Changchun Institute of Applied Chemistry","Injectable Bioresponsive Gel Depot for Enhanced Immune Checkpoint Blockade.","Although cancer immunotherapy based on immune checkpoint inhibitors holds greatpromise toward many types of cancers, several challenges still remain, associatedwith low objective response of patient rate as well as systemic side effects.Here, a combination immunotherapy strategy is developed based on a thermogellingreactive oxygen species (ROS)-responsive polypeptide gel for sustained release ofanti-programmed cell death-ligand  antibody and dextro--methyl tryptophan,inhibitor of indoleamine-,-dioxygenase with leveraging the ROS level in thetumor microenvironment. This bioresponsive gel depot can effectively reduce thelocal ROS level and facilitate release of immunotherapeutics, which leads toenhanced anti-melanoma efficacy in vivo."
" Weill Cornell Medical College","Contemporary Incidence and Outcomes of Prostate Cancer Lymph Node Metastases.","PURPOSE: The incidence of localized prostate cancer has decreased with shifts inprostate cancer screening. While recent population based studies demonstrated astable incidence of locoregional prostate cancer, they categorized organconfined, extraprostatic and lymph node positive disease together. However, toour knowledge the contemporary incidence of prostate cancer with pelvic lymphnode metastases remains unknown.MATERIALS AND METHODS: We used SEER (Surveillance, Epidemiology and End Results)data from  to  to identify men diagnosed with prostate cancer. Weanalyzed trends in the age standardized prostate cancer incidence by stage. Theimpact of disease extent on mortality was assessed by adjusted Cox proportionalhazard analysis.RESULTS: During the study period the annual incidence of nonmetastatic prostatecancer decreased from ,. to ,. per million men (IR ., % CI.-., p <.) while the incidence of pelvic lymph node metastases increasedfrom . to . per million men (IR ., % CI .-., p <.). Theincidence of distant metastases in men  years old or older reached a nadir in compared to  (IR ., % CI .-., p <.) and it increased in compared to  (IR ., % CI .-., p <.). The risk of cancerspecific mortality significantly increased in men diagnosed with pelvic lymphnode metastases (HR ., % CI .-., p <.) and distant metastases (HR., % CI .-., p <.) compared to men with nonmetastatic disease.CONCLUSIONS: The incidence of pelvic lymph node metastases is increasingcoincident with a decline in the detection of localized disease. Whether thisportends an increase in the burden of advanced disease or simply reflectsdecreased lead time remains unclear. However, this should be monitored closely asthe increase in N disease reflects an increase in incurable prostate cancer atdiagnosis."
" Northwestern University Feinberg School of Medicine","Contemporary Incidence and Outcomes of Prostate Cancer Lymph Node Metastases.","PURPOSE: The incidence of localized prostate cancer has decreased with shifts inprostate cancer screening. While recent population based studies demonstrated astable incidence of locoregional prostate cancer, they categorized organconfined, extraprostatic and lymph node positive disease together. However, toour knowledge the contemporary incidence of prostate cancer with pelvic lymphnode metastases remains unknown.MATERIALS AND METHODS: We used SEER (Surveillance, Epidemiology and End Results)data from  to  to identify men diagnosed with prostate cancer. Weanalyzed trends in the age standardized prostate cancer incidence by stage. Theimpact of disease extent on mortality was assessed by adjusted Cox proportionalhazard analysis.RESULTS: During the study period the annual incidence of nonmetastatic prostatecancer decreased from ,. to ,. per million men (IR ., % CI.-., p <.) while the incidence of pelvic lymph node metastases increasedfrom . to . per million men (IR ., % CI .-., p <.). Theincidence of distant metastases in men  years old or older reached a nadir in compared to  (IR ., % CI .-., p <.) and it increased in compared to  (IR ., % CI .-., p <.). The risk of cancerspecific mortality significantly increased in men diagnosed with pelvic lymphnode metastases (HR ., % CI .-., p <.) and distant metastases (HR., % CI .-., p <.) compared to men with nonmetastatic disease.CONCLUSIONS: The incidence of pelvic lymph node metastases is increasingcoincident with a decline in the detection of localized disease. Whether thisportends an increase in the burden of advanced disease or simply reflectsdecreased lead time remains unclear. However, this should be monitored closely asthe increase in N disease reflects an increase in incurable prostate cancer atdiagnosis."
" Dana-Farber Cancer Institute","Contemporary Incidence and Outcomes of Prostate Cancer Lymph Node Metastases.","PURPOSE: The incidence of localized prostate cancer has decreased with shifts inprostate cancer screening. While recent population based studies demonstrated astable incidence of locoregional prostate cancer, they categorized organconfined, extraprostatic and lymph node positive disease together. However, toour knowledge the contemporary incidence of prostate cancer with pelvic lymphnode metastases remains unknown.MATERIALS AND METHODS: We used SEER (Surveillance, Epidemiology and End Results)data from  to  to identify men diagnosed with prostate cancer. Weanalyzed trends in the age standardized prostate cancer incidence by stage. Theimpact of disease extent on mortality was assessed by adjusted Cox proportionalhazard analysis.RESULTS: During the study period the annual incidence of nonmetastatic prostatecancer decreased from ,. to ,. per million men (IR ., % CI.-., p <.) while the incidence of pelvic lymph node metastases increasedfrom . to . per million men (IR ., % CI .-., p <.). Theincidence of distant metastases in men  years old or older reached a nadir in compared to  (IR ., % CI .-., p <.) and it increased in compared to  (IR ., % CI .-., p <.). The risk of cancerspecific mortality significantly increased in men diagnosed with pelvic lymphnode metastases (HR ., % CI .-., p <.) and distant metastases (HR., % CI .-., p <.) compared to men with nonmetastatic disease.CONCLUSIONS: The incidence of pelvic lymph node metastases is increasingcoincident with a decline in the detection of localized disease. Whether thisportends an increase in the burden of advanced disease or simply reflectsdecreased lead time remains unclear. However, this should be monitored closely asthe increase in N disease reflects an increase in incurable prostate cancer atdiagnosis."
" University of Chicago Medicine","Contemporary Incidence and Outcomes of Prostate Cancer Lymph Node Metastases.","PURPOSE: The incidence of localized prostate cancer has decreased with shifts inprostate cancer screening. While recent population based studies demonstrated astable incidence of locoregional prostate cancer, they categorized organconfined, extraprostatic and lymph node positive disease together. However, toour knowledge the contemporary incidence of prostate cancer with pelvic lymphnode metastases remains unknown.MATERIALS AND METHODS: We used SEER (Surveillance, Epidemiology and End Results)data from  to  to identify men diagnosed with prostate cancer. Weanalyzed trends in the age standardized prostate cancer incidence by stage. Theimpact of disease extent on mortality was assessed by adjusted Cox proportionalhazard analysis.RESULTS: During the study period the annual incidence of nonmetastatic prostatecancer decreased from ,. to ,. per million men (IR ., % CI.-., p <.) while the incidence of pelvic lymph node metastases increasedfrom . to . per million men (IR ., % CI .-., p <.). Theincidence of distant metastases in men  years old or older reached a nadir in compared to  (IR ., % CI .-., p <.) and it increased in compared to  (IR ., % CI .-., p <.). The risk of cancerspecific mortality significantly increased in men diagnosed with pelvic lymphnode metastases (HR ., % CI .-., p <.) and distant metastases (HR., % CI .-., p <.) compared to men with nonmetastatic disease.CONCLUSIONS: The incidence of pelvic lymph node metastases is increasingcoincident with a decline in the detection of localized disease. Whether thisportends an increase in the burden of advanced disease or simply reflectsdecreased lead time remains unclear. However, this should be monitored closely asthe increase in N disease reflects an increase in incurable prostate cancer atdiagnosis."
"rep.abs0.2...d.","rep.abs0.5...d.",""
"Dana-Farber Cancer Institute","An Open Label Phase Ib Dose Escalation Study of TRC (Anti-Endoglin Antibody)with Axitinib in Patients with Metastatic Renal Cell Carcinoma.","BACKGROUND: TRC is an IgG endoglin monoclonal antibody that potentiates VEGFinhibitors in preclinical models. We assessed safety, pharmacokinetics, andantitumor activity of TRC in combination with axitinib in patients withmetastatic renal cell carcinoma (mRCC).SUBJECTS, MATERIALS, AND METHODS: Heavily pretreated mRCC patients were treatedwith TRC weekly ( mg/kg and then  mg/kg) in combination with axitinib(initially at  mg b.i.d. and then escalated per patient tolerance to a maximumof  mg b.i.d.) until disease progression or unacceptable toxicity using astandard  +  phase I design.RESULTS: Eighteen patients (median number of prior therapies = ) were treated.TRC dose escalation proceeded to  mg/kg weekly without dose-limitingtoxicity. Adverse event characteristics of each drug were not increased infrequency or severity when the two drugs were administered concurrently. TRCand axitinib demonstrated preliminary evidence of activity, including partialresponses (PR) by RECIST in % of patients, and median progression-free survival(. months). None of the patients with PR had PR to prior first-line treatment.Lower baseline levels of osteopontin and higher baseline levels of TGF-β receptor correlated with overall response rate.CONCLUSION: TRC at  and  mg/kg weekly was well tolerated in combinationwith axitinib, with encouraging evidence of activity in patients with mRCC. Amulticenter, randomized phase II trial of TRC and axitinib has recentlycompleted enrollment (NCT).IMPLICATIONS FOR PRACTICE: TRC is a monoclonal antibody to endoglin (CD), areceptor densely expressed on proliferating endothelial cells and also on renalcancer stem cells that is implicated as a mediator of resistance to inhibitors ofthe VEGF pathway. In this Phase I trial, TRC combined safely with axitinib atthe recommended single agent doses of each drug in patients with renal cellcarcinoma. The combination demonstrated durable activity in a VEGFinhibitor-refractory population and modulated several angiogenic biomarkers. Arandomized Phase II trial testing TRC in combination with axitinib in clearcell renal cell carcinoma has completed accrual."
"Massachusetts General Hospital","An Open Label Phase Ib Dose Escalation Study of TRC (Anti-Endoglin Antibody)with Axitinib in Patients with Metastatic Renal Cell Carcinoma.","BACKGROUND: TRC is an IgG endoglin monoclonal antibody that potentiates VEGFinhibitors in preclinical models. We assessed safety, pharmacokinetics, andantitumor activity of TRC in combination with axitinib in patients withmetastatic renal cell carcinoma (mRCC).SUBJECTS, MATERIALS, AND METHODS: Heavily pretreated mRCC patients were treatedwith TRC weekly ( mg/kg and then  mg/kg) in combination with axitinib(initially at  mg b.i.d. and then escalated per patient tolerance to a maximumof  mg b.i.d.) until disease progression or unacceptable toxicity using astandard  +  phase I design.RESULTS: Eighteen patients (median number of prior therapies = ) were treated.TRC dose escalation proceeded to  mg/kg weekly without dose-limitingtoxicity. Adverse event characteristics of each drug were not increased infrequency or severity when the two drugs were administered concurrently. TRCand axitinib demonstrated preliminary evidence of activity, including partialresponses (PR) by RECIST in % of patients, and median progression-free survival(. months). None of the patients with PR had PR to prior first-line treatment.Lower baseline levels of osteopontin and higher baseline levels of TGF-β receptor correlated with overall response rate.CONCLUSION: TRC at  and  mg/kg weekly was well tolerated in combinationwith axitinib, with encouraging evidence of activity in patients with mRCC. Amulticenter, randomized phase II trial of TRC and axitinib has recentlycompleted enrollment (NCT).IMPLICATIONS FOR PRACTICE: TRC is a monoclonal antibody to endoglin (CD), areceptor densely expressed on proliferating endothelial cells and also on renalcancer stem cells that is implicated as a mediator of resistance to inhibitors ofthe VEGF pathway. In this Phase I trial, TRC combined safely with axitinib atthe recommended single agent doses of each drug in patients with renal cellcarcinoma. The combination demonstrated durable activity in a VEGFinhibitor-refractory population and modulated several angiogenic biomarkers. Arandomized Phase II trial testing TRC in combination with axitinib in clearcell renal cell carcinoma has completed accrual."
"Cedars Sinai Medical Center","An Open Label Phase Ib Dose Escalation Study of TRC (Anti-Endoglin Antibody)with Axitinib in Patients with Metastatic Renal Cell Carcinoma.","BACKGROUND: TRC is an IgG endoglin monoclonal antibody that potentiates VEGFinhibitors in preclinical models. We assessed safety, pharmacokinetics, andantitumor activity of TRC in combination with axitinib in patients withmetastatic renal cell carcinoma (mRCC).SUBJECTS, MATERIALS, AND METHODS: Heavily pretreated mRCC patients were treatedwith TRC weekly ( mg/kg and then  mg/kg) in combination with axitinib(initially at  mg b.i.d. and then escalated per patient tolerance to a maximumof  mg b.i.d.) until disease progression or unacceptable toxicity using astandard  +  phase I design.RESULTS: Eighteen patients (median number of prior therapies = ) were treated.TRC dose escalation proceeded to  mg/kg weekly without dose-limitingtoxicity. Adverse event characteristics of each drug were not increased infrequency or severity when the two drugs were administered concurrently. TRCand axitinib demonstrated preliminary evidence of activity, including partialresponses (PR) by RECIST in % of patients, and median progression-free survival(. months). None of the patients with PR had PR to prior first-line treatment.Lower baseline levels of osteopontin and higher baseline levels of TGF-β receptor correlated with overall response rate.CONCLUSION: TRC at  and  mg/kg weekly was well tolerated in combinationwith axitinib, with encouraging evidence of activity in patients with mRCC. Amulticenter, randomized phase II trial of TRC and axitinib has recentlycompleted enrollment (NCT).IMPLICATIONS FOR PRACTICE: TRC is a monoclonal antibody to endoglin (CD), areceptor densely expressed on proliferating endothelial cells and also on renalcancer stem cells that is implicated as a mediator of resistance to inhibitors ofthe VEGF pathway. In this Phase I trial, TRC combined safely with axitinib atthe recommended single agent doses of each drug in patients with renal cellcarcinoma. The combination demonstrated durable activity in a VEGFinhibitor-refractory population and modulated several angiogenic biomarkers. Arandomized Phase II trial testing TRC in combination with axitinib in clearcell renal cell carcinoma has completed accrual."
"University of Alabama Comprehensive Cancer Center","An Open Label Phase Ib Dose Escalation Study of TRC (Anti-Endoglin Antibody)with Axitinib in Patients with Metastatic Renal Cell Carcinoma.","BACKGROUND: TRC is an IgG endoglin monoclonal antibody that potentiates VEGFinhibitors in preclinical models. We assessed safety, pharmacokinetics, andantitumor activity of TRC in combination with axitinib in patients withmetastatic renal cell carcinoma (mRCC).SUBJECTS, MATERIALS, AND METHODS: Heavily pretreated mRCC patients were treatedwith TRC weekly ( mg/kg and then  mg/kg) in combination with axitinib(initially at  mg b.i.d. and then escalated per patient tolerance to a maximumof  mg b.i.d.) until disease progression or unacceptable toxicity using astandard  +  phase I design.RESULTS: Eighteen patients (median number of prior therapies = ) were treated.TRC dose escalation proceeded to  mg/kg weekly without dose-limitingtoxicity. Adverse event characteristics of each drug were not increased infrequency or severity when the two drugs were administered concurrently. TRCand axitinib demonstrated preliminary evidence of activity, including partialresponses (PR) by RECIST in % of patients, and median progression-free survival(. months). None of the patients with PR had PR to prior first-line treatment.Lower baseline levels of osteopontin and higher baseline levels of TGF-β receptor correlated with overall response rate.CONCLUSION: TRC at  and  mg/kg weekly was well tolerated in combinationwith axitinib, with encouraging evidence of activity in patients with mRCC. Amulticenter, randomized phase II trial of TRC and axitinib has recentlycompleted enrollment (NCT).IMPLICATIONS FOR PRACTICE: TRC is a monoclonal antibody to endoglin (CD), areceptor densely expressed on proliferating endothelial cells and also on renalcancer stem cells that is implicated as a mediator of resistance to inhibitors ofthe VEGF pathway. In this Phase I trial, TRC combined safely with axitinib atthe recommended single agent doses of each drug in patients with renal cellcarcinoma. The combination demonstrated durable activity in a VEGFinhibitor-refractory population and modulated several angiogenic biomarkers. Arandomized Phase II trial testing TRC in combination with axitinib in clearcell renal cell carcinoma has completed accrual."
