"collaborator","n","title","word","nword","rank"
" Baylor College of Medicine",14,"A Leukocyte Infiltration Score Defined by a Gene Signature Predicts MelanomaPatient Prognosis.","melanoma",9,1
" Baylor College of Medicine",14,"A Randomized, Placebo-Controlled Trial of the Quadrivalent Human PapillomavirusVaccine in Human Immunodeficiency Virus-Infected Adults Aged  Years or Older:AIDS Clinical Trials Group Protocol A.","hpv",8,2
" Baylor College of Medicine",14,"FGFR-Activated Translation of WNT Pathway Components with Structured ' UTRs IsVulnerable to Inhibition of EIFA-Dependent Translation Initiation.","wnt",8,3
" Baylor College of Medicine",14,"Interactions Between Genetic Variants and Environmental Factors Affect Risk ofEsophageal Adenocarcinoma and Barrett's Esophagus.","ea",8,4
" Baylor College of Medicine",14,"Mendelian Randomization and mediation analysis of leukocyte telomere length andrisk of lung and head and neck cancers.","cancer",8,5
" Baylor College of Medicine",14,"Mendelian Randomization and mediation analysis of leukocyte telomere length andrisk of lung and head and neck cancers.","lung",8,6
" Baylor College of Medicine",14,"Multiparametric Magnetic Resonance Imaging for Bladder Cancer: Development ofVI-RADS (Vesical Imaging-Reporting And Data System).","imaging",8,7
" Baylor College of Medicine",14,"The incidence of lymph node metastasis in submucosal early gastric canceraccording to the expanded criteria: a systematic review.","egc",8,8
" Baylor College of Medicine",14,"Anti-Hypertensive Medication Use, Soluble Receptor for Glycation End Products andRisk of Pancreatic Cancer in the Women's Health Initiative Study.","anti",7,9
" Baylor College of Medicine",14,"Anti-Hypertensive Medication Use, Soluble Receptor for Glycation End Products andRisk of Pancreatic Cancer in the Women's Health Initiative Study.","cancer",7,10
" Baylor College of Medicine",14,"Anti-Hypertensive Medication Use, Soluble Receptor for Glycation End Products andRisk of Pancreatic Cancer in the Women's Health Initiative Study.","ht",7,11
" Baylor College of Medicine",14,"Functional Annotation of ESR Gene Fusions in Estrogen Receptor-Positive BreastCancer.","esr",7,12
" Baylor College of Medicine",14,"Interactions Between Genetic Variants and Environmental Factors Affect Risk ofEsophageal Adenocarcinoma and Barrett's Esophagus.","rs",7,13
" Baylor College of Medicine",14,"The incidence of lymph node metastasis in submucosal early gastric canceraccording to the expanded criteria: a systematic review.","lnm",7,14
" Baylor College of Medicine",14,"A Randomized, Placebo-Controlled Trial of the Quadrivalent Human PapillomavirusVaccine in Human Immunodeficiency Virus-Infected Adults Aged  Years or Older:AIDS Clinical Trials Group Protocol A.","anal",6,15
" Chan School of Public Health",13,"Geographic Differences in Baseline Prostate Inflammation and Relationship withSubsequent Prostate Cancer Risk: Results from the Multinational REDUCE Trial.","prostate",13,1
" Chan School of Public Health",13,"Association of Body Mass Index and Age With Subsequent Breast Cancer Risk inPremenopausal Women.","bmi",12,2
" Chan School of Public Health",13,"Association of Body Mass Index and Age With Subsequent Breast Cancer Risk inPremenopausal Women.","breast",11,3
" Chan School of Public Health",13,"Serum cholesterol and risk of high-grade prostate cancer: results from the REDUCEstudy.","prostate",11,4
" Chan School of Public Health",13,"Social relationships, inflammation markers, and breast cancer incidence in theWomen's Health Initiative.","social",11,5
" Chan School of Public Health",13,"Association of Body Mass Index and Age With Subsequent Breast Cancer Risk inPremenopausal Women.","cancer",10,6
" Chan School of Public Health",13,"Statin use, high cholesterol and prostate cancer progression; results fromHCaP-NC.","statin",10,7
" Chan School of Public Health",13,"Geographic Differences in Baseline Prostate Inflammation and Relationship withSubsequent Prostate Cancer Risk: Results from the Multinational REDUCE Trial.","cancer",9,8
" Chan School of Public Health",13,"Serum cholesterol and risk of high-grade prostate cancer: results from the REDUCEstudy.","cancer",9,9
" Chan School of Public Health",13,"A Randomized, Placebo-Controlled Trial of the Quadrivalent Human PapillomavirusVaccine in Human Immunodeficiency Virus-Infected Adults Aged  Years or Older:AIDS Clinical Trials Group Protocol A.","hpv",8,10
" Chan School of Public Health",13,"Lifestyle Factors, Colorectal Tumor Methylation, and Survival Among AfricanAmericans and European Americans.","methylation",8,11
" Chan School of Public Health",13,"Mortality From Post-screening (Interval) Colorectal Cancers is Comparable to ThatFrom Cancer in Unscreened Patients-a Randomized Sigmoidoscopy Trial.","cancer",8,12
" Chan School of Public Health",13,"Serological response to Helicobacter pylori proteins associate with risk ofcolorectal cancer among diverse populations in the United States.","pylori",8,13
" Chan School of Public Health",13,"Serum cholesterol and risk of high-grade prostate cancer: results from the REDUCEstudy.","cholesterol",8,14
" Chan School of Public Health",13,"Circulating anti-Müllerian hormone and breast cancer risk: A study in tenprospective cohorts.","ci",7,15
" Duke University",16,"Predictors of Physical and Functional Loss in Advanced-Stage Lung Cancer PatientsReceiving Platinum Chemotherapy.","loss",13,1
" Duke University",16,"Improving Access to Cancer Testing and Treatment in Kenya.","cancer",12,2
" Duke University",16,"Serum cholesterol and risk of high-grade prostate cancer: results from the REDUCEstudy.","prostate",11,3
" Duke University",16,"Stromal Fibroblasts Mediate Anti-PD- Resistance via MMP- and Dictate TGFβInhibitor Sequencing in Melanoma.","pd",10,4
" Duke University",16,"Serum cholesterol and risk of high-grade prostate cancer: results from the REDUCEstudy.","cancer",9,5
" Duke University",16,"Serological response to Helicobacter pylori proteins associate with risk ofcolorectal cancer among diverse populations in the United States.","pylori",8,6
" Duke University",16,"Serum cholesterol and risk of high-grade prostate cancer: results from the REDUCEstudy.","cholesterol",8,7
" Duke University",16,"What Do Breast Cancer Survivors Expect From Exercise?","exercise",8,8
" Duke University",16,"Correlation of Regional Lung Ventilation and Gas Transfer to Red Blood Cells:Implications for Functional-Avoidance Radiation Therapy Planning.","ventilation",7,9
